id_training;training_requirement;training_group;training_type;modality;area;supplier;cost_estimate;date;total_hours;cost_executed
106;Manejo de Productos Químicos;COMPLIANCE;MASS;In company;MASS;INTERNO; $977 ;01/06/2015;50;977
101;MBA;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;Univ. Torcuato Di Tella; $99.400 ;01/06/2015;50;11094
95;Portugues Nivel I;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $15.000 ;01/06/2015;10;1667
104;Refuerzo Manejo Seguro de Autoelevadores ;COMPLIANCE;MASS;In company;MASS;INTERNO; $977 ;01/06/2015;50;977
66;TGBT “Tablero de distribución en baja tensión”;DESARROLLO;TECNICA;Curso abierto;LINEA 2;Schneider; $750 ;01/06/2015;8;750
35;TGBT “Tablero de distribución en baja tensión”;DESARROLLO;TECNICA;Curso abierto;LINEA 2;Schneider; $750 ;01/06/2015;8;375
73;AMFE 4ta edición;COMPLIANCE;CALIDAD;Curso abierto;CALIDAD;SETEC; $2.300 ;01/07/2015;8;2300
112;Auditores Internos Norma ISO 14001 (repaso);COMPLIANCE;MASS;In company;MASS;M. Troccoli; $8.000 ;01/07/2015;60;8000
19;CATIA Nivel 1;DESARROLLO;TECNICA;In company;MATRICERIA;CARDIX; $13.000 ;01/07/2015;120;13000
83;Curso de Especialización en Logística;DESARROLLO;TECNICA;Curso abierto;LOGÍSTICA UN 2;ITBA; $7.000 ;01/07/2015;45;750
96;FIM I  DESARROLLO GERENCIAL;DESARROLLO;DESARROLLO;In company;RECURSOS HUMANOS;E&Y; $30.000 ;01/07/2015;88;6000
97;FIM II DESARROLLO GERENCIAL;DESARROLLO;DESARROLLO;In company;RECURSOS HUMANOS;E&Y; $48.000 ;01/07/2015;72;6000
93;Inglés - Nivel 1;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/07/2015;40;2222
94;Ingles - Nivel 2;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/07/2015;40;2222
22;Instalaciones eléctricas industriales/Int. a la Eelctrotecnia Industrial;DESARROLLO;TECNICA;Curso abierto;LINEA 3;UTN; $3.000 ;01/07/2015;15;750
102;Maestría en RR.HH.;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;UBA ECO; $2.000 ;01/07/2015;20;222
106;Manejo de Productos Químicos;COMPLIANCE;MASS;In company;MASS;INTERNO; $977 ;01/07/2015;50;977
101;MBA;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;Univ. Torcuato Di Tella; $99.400 ;01/07/2015;50;11094
80;MSA 4ta edición;COMPLIANCE;CALIDAD;Curso abierto;CALIDAD;SETEC; $4.600 ;01/07/2015;16;4600
9;MSA 4ta edición;COMPLIANCE;CALIDAD;Curso abierto;LINEA 5;SETEC; $4.000 ;01/07/2015;16;2000
136;Planificación de la Producción;DESARROLLO;TECNICA;Curso abierto;LOGISTICA UN 1;Estudio Axenfeld; $1.500 ;01/07/2015;8;1500
95;Portugues Nivel I;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $15.000 ;01/07/2015;10;1667
13;Presentaciones orales eficaces (módulo FIM 1);DESARROLLO;DESARROLLO;Curso abierto;LINEA 5;E&Y; $3.000 ;01/07/2015;8;1500
64;Administración de inventarios y rotación de stock;DESARROLLO;TECNICA;Curso abierto;LOGISTICA UN 1;Estudio Axenfeld; $4.000 ;01/08/2015;32;4000
81;APQP 2da edicion-PPAP 4ta edicion;COMPLIANCE;CALIDAD;Curso abierto;CALIDAD;SETEC; $4.600 ;01/08/2015;16;4600
83;Curso de Especialización en Logística;DESARROLLO;TECNICA;Curso abierto;LOGÍSTICA UN 2;ITBA; $7.000 ;01/08/2015;45;750
105;Elementos mecánicos de Izaje;COMPLIANCE;TECNICA;In company;MASS;Worklift; $5.600 ;01/08/2015;24;4200
96;FIM I  DESARROLLO GERENCIAL;DESARROLLO;DESARROLLO;In company;RECURSOS HUMANOS;E&Y; $30.000 ;01/08/2015;88;6000
97;FIM II DESARROLLO GERENCIAL;DESARROLLO;DESARROLLO;In company;RECURSOS HUMANOS;E&Y; $48.000 ;01/08/2015;72;6000
93;Inglés - Nivel 1;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/08/2015;40;2222
94;Ingles - Nivel 2;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/08/2015;40;2222
3;Introducción a la Servotecnología;DESARROLLO;TECNICA;Curso abierto;LINEA 5;SEW Eurodrive; $2.800 ;01/08/2015;32;1867
102;Maestría en RR.HH.;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;UBA ECO; $2.000 ;01/08/2015;20;222
101;MBA;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;Univ. Torcuato Di Tella; $99.400 ;01/08/2015;50;11094
117;Norma ISO 14001 Sistema Gestión Ambiental;COMPLIANCE;MASS;In company;MASS;INTERNO; $37 ;01/08/2015;45;37
36;PCP ;DESARROLLO;TECNICA;Curso abierto;LINEA 2;Schneider; $1.400 ;01/08/2015;16;700
